Weight,Coefficient
61.7,0.96575
61.75,0.96512
61.8,0.9645
61.85,0.96387
61.9,0.96325
61.95,0.96265
62.0,0.96205
62.05,0.96142
62.1,0.9608
62.15,0.96017
62.2,0.95955
62.25,0.95895
62.3,0.95835
62.35,0.95772
62.4,0.9571
62.45,0.9565
62.5,0.9559
62.55,0.9553
62.6,0.9547
62.65,0.9541
62.7,0.9535
62.75,0.95287
62.8,0.95225
62.85,0.95167
62.9,0.9511
62.95,0.95047
63.0,0.94985
63.05,0.94925
63.1,0.94865
63.15,0.94805
63.2,0.94745
63.25,0.94685
63.3,0.94625
63.35,0.94565
63.4,0.94505
63.45,0.94447
63.5,0.9439
63.55,0.94332
63.6,0.94275
63.65,0.94215
63.7,0.94155
63.75,0.94097
63.8,0.9404
63.85,0.9398
63.9,0.9392
63.95,0.93862
64.0,0.93805
64.05,0.9377
64.1,0.93735
64.15,0.93655
64.2,0.93575
64.25,0.93517
64.3,0.9346
64.35,0.93402
64.4,0.93345
64.45,0.93287
64.5,0.9323
64.55,0.93172
64.6,0.93115
64.65,0.93057
64.7,0.93
64.75,0.92945
64.8,0.9289
64.85,0.92832
64.9,0.92775
64.95,0.9272
65.0,0.92665
65.05,0.92607
65.1,0.9255
65.15,0.92495
65.2,0.9244
65.25,0.92382
65.3,0.92325
65.35,0.92272
65.4,0.9222
65.45,0.92165
65.5,0.9211
65.55,0.92052
65.6,0.91995
65.65,0.9194
65.7,0.91885
65.75,0.91832
65.8,0.9178
65.85,0.91722
65.9,0.91665
65.95,0.91612
66.0,0.9156
66.05,0.91505
66.1,0.9145
66.15,0.91397
66.2,0.91345
66.25,0.9129
66.3,0.91235
66.35,0.91182
66.4,0.9113
66.45,0.91075
66.5,0.9102
66.55,0.90967
66.6,0.90915
66.65,0.9086
66.7,0.90805
66.75,0.90752
66.8,0.907
66.85,0.90647
66.9,0.90595
66.95,0.90542
67.0,0.9049
67.05,0.90437
67.1,0.90385
67.15,0.90332
67.2,0.9028
67.25,0.90227
67.3,0.90175
67.35,0.90125
67.4,0.90075
67.45,0.89995
67.5,0.89995
67.55,0.89867
67.6,0.8982
67.65,0.89775
67.7,0.8973
67.75,0.89682
67.8,0.89635
67.85,0.89587
67.9,0.8954
67.95,0.89495
68.0,0.8945
68.05,0.89402
68.1,0.89355
68.15,0.89307
68.2,0.8926
68.25,0.89215
68.3,0.8917
68.35,0.89122
68.4,0.89075
68.45,0.8903
68.5,0.88985
68.55,0.8894
68.6,0.88895
68.65,0.8885
68.7,0.88805
68.75,0.8876
68.8,0.88715
68.85,0.8867
68.9,0.88625
68.95,0.88577
69.0,0.8853
69.05,0.88485
69.1,0.8844
69.15,0.88395
69.2,0.8835
69.25,0.88307
69.3,0.88265
69.35,0.8822
69.4,0.88175
69.45,0.8813
69.5,0.88085
69.55,0.8804
69.6,0.87995
69.65,0.87952
69.7,0.8791
69.75,0.87865
69.8,0.8782
69.85,0.87775
69.9,0.8773
69.95,0.87687
70.0,0.87645
70.05,0.87602
70.1,0.8756
70.15,0.87515
70.2,0.8747
70.25,0.87427
70.3,0.87385
70.35,0.87342
70.4,0.873
70.45,0.87257
70.5,0.87215
70.55,0.8717
70.6,0.87125
70.65,0.87082
70.7,0.8704
70.75,0.86997
70.8,0.86955
70.85,0.86912
70.9,0.8687
70.95,0.86827
71.0,0.86785
71.05,0.86742
71.1,0.867
71.15,0.8666
71.2,0.8662
71.25,0.86575
71.3,0.8653
71.35,0.8649
71.4,0.8645
71.45,0.8641
71.5,0.8637
71.55,0.86327
71.6,0.86285
71.65,0.86245
71.7,0.86205
71.75,0.86162
71.8,0.8612
71.85,0.86077
71.9,0.86035
71.95,0.85995
72.0,0.85955
72.05,0.85912
72.1,0.8587
72.15,0.8583
72.2,0.8579
72.25,0.85752
72.3,0.85715
72.35,0.85672
72.4,0.8563
72.45,0.8559
72.5,0.8555
72.55,0.8551
72.6,0.8547
72.65,0.85427
72.7,0.85385
72.75,0.85345
72.8,0.85305
72.85,0.85267
72.9,0.8523
72.95,0.8519
73.0,0.8515
73.05,0.8511
73.1,0.8507
73.15,0.8503
73.2,0.8499
73.25,0.8495
73.3,0.8491
73.35,0.84872
73.4,0.84835
73.45,0.84795
73.5,0.84755
73.55,0.84717
73.6,0.8468
73.65,0.84642
73.7,0.84605
73.75,0.84565
73.8,0.84525
73.85,0.84485
73.9,0.84445
73.95,0.84405
74.0,0.84365
74.05,0.84327
74.1,0.8429
74.15,0.84252
74.2,0.84215
74.25,0.84177
74.3,0.8414
74.35,0.84102
74.4,0.84065
74.45,0.84027
74.5,0.8399
74.55,0.8395
74.6,0.8391
74.65,0.83872
74.7,0.83835
74.75,0.83797
74.8,0.8376
74.85,0.83722
74.9,0.83685
74.95,0.83647
75.0,0.8361
75.05,0.83572
75.1,0.83535
75.15,0.835
75.2,0.83465
75.25,0.8343
75.3,0.83395
75.35,0.83357
75.4,0.8332
75.45,0.83282
75.5,0.83245
75.55,0.83207
75.6,0.8317
75.65,0.83135
75.7,0.831
75.75,0.83062
75.8,0.83025
75.85,0.82987
75.9,0.8295
75.95,0.82917
76.0,0.82885
76.05,0.82847
76.1,0.8281
76.15,0.82775
76.2,0.8274
76.25,0.82702
76.3,0.82665
76.35,0.8263
76.4,0.82595
76.45,0.8256
76.5,0.82525
76.55,0.8249
76.6,0.82455
76.65,0.82417
76.7,0.8238
76.75,0.82347
76.8,0.82315
76.85,0.8228
76.9,0.82245
76.95,0.82207
77.0,0.8217
77.05,0.82137
77.1,0.82105
77.15,0.8207
77.2,0.82035
77.25,0.82
77.3,0.81965
77.35,0.81932
77.4,0.819
77.45,0.81862
77.5,0.81825
77.55,0.8179
77.6,0.81755
77.65,0.81722
77.7,0.8169
77.75,0.81655
77.8,0.8162
77.85,0.81587
77.9,0.81555
77.95,0.8152
78.0,0.81485
78.05,0.8145
78.1,0.81415
78.15,0.81382
78.2,0.8135
78.25,0.81317
78.3,0.81285
78.35,0.81252
78.4,0.8122
78.45,0.81155
78.5,0.8115
78.55,0.81117
78.6,0.81085
78.65,0.8105
78.7,0.81015
78.75,0.80985
78.8,0.80955
78.85,0.80922
78.9,0.8089
78.95,0.80855
79.0,0.8082
79.05,0.8079
79.1,0.8076
79.15,0.80725
79.2,0.8069
79.25,0.80657
79.3,0.80625
79.35,0.80592
79.4,0.8056
79.45,0.80527
79.5,0.80495
79.55,0.80465
79.6,0.80435
79.65,0.804
79.7,0.80365
79.75,0.80335
79.8,0.80305
79.85,0.80272
79.9,0.8024
79.95,0.80207
80.0,0.80175
80.05,0.80145
80.1,0.80115
80.15,0.80082
80.2,0.8005
80.25,0.80017
80.3,0.79985
80.35,0.79955
80.4,0.79925
80.45,0.79895
80.5,0.79865
80.55,0.79832
80.6,0.798
80.65,0.79767
80.7,0.79735
80.75,0.79705
80.8,0.79675
80.85,0.79645
80.9,0.79615
80.95,0.79585
81.0,0.79555
81.05,0.79525
81.1,0.79495
81.15,0.79462
81.2,0.7943
81.25,0.794
81.3,0.7937
81.35,0.7934
81.4,0.7931
81.45,0.7928
81.5,0.7925
81.55,0.7922
81.6,0.7919
81.65,0.7916
81.7,0.7913
81.75,0.791
81.8,0.7907
81.85,0.79037
81.9,0.79005
81.95,0.78975
82.0,0.78945
82.05,0.78917
82.1,0.7889
82.15,0.7886
82.2,0.7883
82.25,0.788
82.3,0.7877
82.35,0.7874
82.4,0.7871
82.45,0.78682
82.5,0.78655
82.55,0.78625
82.6,0.78595
82.65,0.78565
82.7,0.78535
82.75,0.78507
82.8,0.7848
82.85,0.7845
82.9,0.7842
82.95,0.78392
83.0,0.78365
83.05,0.78335
83.1,0.78305
83.15,0.78277
83.2,0.7825
83.25,0.7822
83.3,0.7819
83.35,0.78162
83.4,0.78135
83.45,0.78105
83.5,0.78075
83.55,0.78047
83.6,0.7802
83.65,0.7799
83.7,0.7796
83.75,0.77932
83.8,0.77905
83.85,0.7788
83.9,0.77855
83.95,0.77825
84.0,0.77795
84.05,0.77767
84.1,0.7774
84.15,0.77712
84.2,0.77685
84.25,0.77657
84.3,0.7763
84.35,0.776
84.4,0.7757
84.45,0.77542
84.5,0.77515
84.55,0.7749
84.6,0.77465
84.65,0.77437
84.7,0.7741
84.75,0.77382
84.8,0.77355
84.85,0.77327
84.9,0.773
84.95,0.77272
85.0,0.77245
85.05,0.7722
85.1,0.77195
85.15,0.77167
85.2,0.7714
85.25,0.77112
85.3,0.77085
85.35,0.77057
85.4,0.7703
85.45,0.77005
85.5,0.7698
85.55,0.76952
85.6,0.76925
85.65,0.76897
85.7,0.7687
85.75,0.76845
85.8,0.7682
85.85,0.76792
85.9,0.76765
85.95,0.76737
86.0,0.7671
86.05,0.76685
86.1,0.7666
86.15,0.76635
86.2,0.7661
86.25,0.76582
86.3,0.76555
86.35,0.7653
86.4,0.76505
86.45,0.76477
86.5,0.7645
86.55,0.76425
86.6,0.764
86.65,0.76375
86.7,0.7635
86.75,0.76322
86.8,0.76295
86.85,0.76272
86.9,0.7625
86.95,0.76222
87.0,0.76195
87.05,0.7617
87.1,0.76145
87.15,0.7612
87.2,0.76095
87.25,0.76067
87.3,0.7604
87.35,0.76017
87.4,0.75995
87.45,0.75967
87.5,0.7594
87.55,0.75917
87.6,0.75895
87.65,0.75867
87.7,0.7584
87.75,0.75817
87.8,0.75795
87.85,0.7577
87.9,0.75745
87.95,0.7572
88.0,0.75695
88.05,0.7567
88.1,0.75645
88.15,0.75622
88.2,0.756
88.25,0.75572
88.3,0.75545
88.35,0.75522
88.4,0.755
88.45,0.75475
88.5,0.7545
88.55,0.75425
88.6,0.754
88.65,0.75375
88.7,0.7535
88.75,0.75327
88.8,0.75305
88.85,0.75282
88.9,0.7526
88.95,0.75232
89.0,0.75205
89.05,0.75182
89.1,0.7516
89.15,0.75137
89.2,0.75115
89.25,0.7509
89.3,0.75065
89.35,0.75042
89.4,0.7502
89.45,0.74995
89.5,0.7497
89.55,0.74947
89.6,0.74925
89.65,0.74897
89.7,0.7487
89.75,0.7485
89.8,0.7483
89.85,0.74807
89.9,0.74785
89.95,0.7477
90.0,0.74755
90.05,0.74737
90.1,0.7472
90.15,0.747
90.2,0.7468
90.25,0.74662
90.3,0.74645
90.35,0.74625
90.4,0.74605
90.45,0.74587
90.5,0.7457
90.55,0.74552
90.6,0.74535
90.65,0.74515
90.7,0.74495
90.75,0.74477
90.8,0.7446
90.85,0.74445
90.9,0.7443
90.95,0.7441
91.0,0.7439
91.05,0.74372
91.1,0.74355
91.15,0.74335
91.2,0.74315
91.25,0.74297
91.3,0.7428
91.35,0.74265
91.4,0.7425
91.45,0.7423
91.5,0.7421
91.55,0.74192
91.6,0.74175
91.65,0.7416
91.7,0.74145
91.75,0.74125
91.8,0.74105
91.85,0.74087
91.9,0.7407
91.95,0.74055
92.0,0.7404
92.05,0.7402
92.1,0.74
92.15,0.73985
92.2,0.7397
92.25,0.73952
92.3,0.73935
92.35,0.73915
92.4,0.73895
92.45,0.7388
92.5,0.73865
92.55,0.73847
92.6,0.7383
92.65,0.73812
92.7,0.73795
92.75,0.73777
92.8,0.7376
92.85,0.73745
92.9,0.7373
92.95,0.73712
93.0,0.73695
93.05,0.73677
93.1,0.7366
93.15,0.73645
93.2,0.7363
93.25,0.73612
93.3,0.73595
93.35,0.73577
93.4,0.7356
93.45,0.73545
93.5,0.7353
93.55,0.73512
93.6,0.73495
93.65,0.73477
93.7,0.7346
93.75,0.73445
93.8,0.7343
93.85,0.73412
93.9,0.73395
93.95,0.7338
94.0,0.73365
94.05,0.73347
94.1,0.7333
94.15,0.73312
94.2,0.73295
94.25,0.7328
94.3,0.73265
94.35,0.7325
94.4,0.73235
94.45,0.73217
94.5,0.732
94.55,0.73185
94.6,0.7317
94.65,0.73152
94.7,0.73135
94.75,0.7312
94.8,0.73105
94.85,0.73087
94.9,0.7307
94.95,0.73055
95.0,0.7304
95.05,0.73025
95.1,0.7301
95.15,0.72995
95.2,0.7298
95.25,0.72962
95.3,0.72945
95.35,0.7293
95.4,0.72915
95.45,0.729
95.5,0.72885
95.55,0.7287
95.6,0.72855
95.65,0.7284
95.7,0.72825
95.75,0.72807
95.8,0.7279
95.85,0.72775
95.9,0.7276
95.95,0.72745
96.0,0.7273
96.05,0.72715
96.1,0.727
96.15,0.72685
96.2,0.7267
96.25,0.72652
96.3,0.72635
96.35,0.7262
96.4,0.72605
96.45,0.7259
96.5,0.72575
96.55,0.7256
96.6,0.72545
96.65,0.7253
96.7,0.72515
96.75,0.725
96.8,0.72485
96.85,0.72467
96.9,0.7245
96.95,0.72437
97.0,0.72425
97.05,0.7241
97.1,0.72395
97.15,0.7238
97.2,0.72365
97.25,0.7235
97.3,0.72335
97.35,0.7232
97.4,0.72305
97.45,0.7229
97.5,0.72275
97.55,0.7226
97.6,0.72245
97.65,0.7223
97.7,0.72215
97.75,0.722
97.8,0.72185
97.85,0.72172
97.9,0.7216
97.95,0.72145
98.0,0.7213
98.05,0.72115
98.1,0.721
98.15,0.72085
98.2,0.7207
98.25,0.72055
98.3,0.7204
98.35,0.72025
98.4,0.7201
98.45,0.71997
98.5,0.71985
98.55,0.7197
98.6,0.71955
98.65,0.71942
98.7,0.7193
98.75,0.71915
98.8,0.719
98.85,0.71885
98.9,0.7187
98.95,0.71857
99.0,0.71845
99.05,0.71827
99.1,0.7181
99.15,0.71797
99.2,0.71785
99.25,0.7177
99.3,0.71755
99.35,0.71742
99.4,0.7173
99.45,0.71715
99.5,0.717
99.55,0.71687
99.6,0.71675
99.65,0.7166
99.7,0.71645
99.75,0.71632
99.8,0.7162
99.85,0.71605
99.9,0.7159
99.95,0.71577
100.0,0.71565
100.05,0.7155
100.1,0.71535
100.15,0.71522
100.2,0.7151
100.25,0.71495
100.3,0.7148
100.35,0.71465
100.4,0.7145
100.45,0.71437
100.5,0.71425
100.55,0.7141
100.6,0.71395
100.65,0.71382
100.7,0.7137
100.75,0.71357
100.8,0.71345
100.85,0.7133
100.9,0.71315
100.95,0.71302
101.0,0.7129
101.05,0.71277
101.1,0.71265
101.15,0.7125
101.2,0.71235
101.25,0.71222
101.3,0.7121
101.35,0.71197
101.4,0.71185
101.45,0.71172
101.5,0.7116
101.55,0.71145
101.6,0.7113
101.65,0.71117
101.7,0.71105
101.75,0.71092
101.8,0.7108
101.85,0.71067
101.9,0.71055
101.95,0.7104
102.0,0.71025
102.05,0.71012
102.1,0.71
102.15,0.70987
102.2,0.70975
102.25,0.70962
102.3,0.7095
102.35,0.70937
102.4,0.70925
102.45,0.7091
102.5,0.70895
102.55,0.70882
102.6,0.7087
102.65,0.70857
102.7,0.70845
102.75,0.70832
102.8,0.7082
102.85,0.70807
102.9,0.70795
102.95,0.70782
103.0,0.7077
103.05,0.70757
103.1,0.70745
103.15,0.7073
103.2,0.70715
103.25,0.70702
103.3,0.7069
103.35,0.70677
103.4,0.70665
103.45,0.70652
103.5,0.7064
103.55,0.70627
103.6,0.70615
103.65,0.70602
103.7,0.7059
103.75,0.70577
103.8,0.70565
103.85,0.70552
103.9,0.7054
103.95,0.70527
104.0,0.70515
104.05,0.70502
104.1,0.7049
104.15,0.7048
104.2,0.7047
104.25,0.70457
104.3,0.70445
104.35,0.70432
104.4,0.7042
104.45,0.70407
104.5,0.70395
104.55,0.70382
104.6,0.7037
104.65,0.70357
104.7,0.70345
104.75,0.70332
104.8,0.7032
104.85,0.70307
104.9,0.70295
104.95,0.70282
105.0,0.7027
105.05,0.70257
105.1,0.70245
105.15,0.70235
105.2,0.70225
105.25,0.70212
105.3,0.702
105.35,0.70187
105.4,0.70175
105.45,0.70165
105.5,0.70155
105.55,0.70142
105.6,0.7013
105.65,0.70117
105.7,0.70105
105.75,0.70092
105.8,0.7008
105.85,0.70067
105.9,0.70055
105.95,0.70042
106.0,0.7003
106.05,0.7002
106.1,0.7001
106.15,0.69997
106.2,0.69985
106.25,0.69972
106.3,0.6996
106.35,0.6995
106.4,0.6994
106.45,0.69927
106.5,0.69915
106.55,0.69905
106.6,0.69895
106.65,0.69882
106.7,0.6987
106.75,0.69857
106.8,0.69845
106.85,0.69832
106.9,0.6982
106.95,0.69807
107.0,0.69795
107.05,0.69785
107.1,0.69775
107.15,0.69765
107.2,0.69755
107.25,0.69742
107.3,0.6973
107.35,0.69717
107.4,0.69705
107.45,0.69695
107.5,0.69685
107.55,0.69672
107.6,0.6966
107.65,0.69647
107.7,0.69635
107.75,0.69627
107.8,0.6962
107.85,0.69607
107.9,0.69595
107.95,0.69582
108.0,0.6957
108.05,0.69557
108.1,0.69545
108.15,0.69535
108.2,0.69525
108.25,0.69512
108.3,0.695
108.35,0.6949
108.4,0.6948
108.45,0.6947
108.5,0.6946
108.55,0.69447
108.6,0.69435
108.65,0.69425
108.7,0.69415
108.75,0.69402
108.8,0.6939
108.85,0.69377
108.9,0.69365
108.95,0.69357
109.0,0.6935
109.05,0.69337
109.1,0.69325
109.15,0.69312
109.2,0.693
109.25,0.6929
109.3,0.6928
109.35,0.69267
109.4,0.69255
109.45,0.69247
109.5,0.6924
109.55,0.69227
109.6,0.69215
109.65,0.69202
109.7,0.6919
109.75,0.6918
109.8,0.6917
109.85,0.6916
109.9,0.6915
109.95,0.69142
110.0,0.69135
110.05,0.69127
110.1,0.6912
110.15,0.69112
110.2,0.69105
110.25,0.69097
110.3,0.6909
110.35,0.69082
110.4,0.69075
110.45,0.69067
110.5,0.6906
110.55,0.69052
110.6,0.69045
110.65,0.69037
110.7,0.6903
110.75,0.69022
110.8,0.69015
110.85,0.6901
110.9,0.69005
110.95,0.68995
111.0,0.68985
111.05,0.6898
111.1,0.68975
111.15,0.68967
111.2,0.6896
111.25,0.68952
111.3,0.68945
111.35,0.68937
111.4,0.6893
111.45,0.68922
111.5,0.68915
111.55,0.68907
111.6,0.689
111.65,0.68895
111.7,0.6889
111.75,0.6888
111.8,0.6887
111.85,0.68865
111.9,0.6886
111.95,0.68855
112.0,0.6885
112.05,0.6884
112.1,0.6883
112.15,0.68825
112.2,0.6882
112.25,0.6881
112.3,0.688
112.35,0.68795
112.4,0.6879
112.45,0.68782
112.5,0.68775
112.55,0.68767
112.6,0.6876
112.65,0.68752
112.7,0.68745
112.75,0.6874
112.8,0.68735
112.85,0.68727
112.9,0.6872
112.95,0.68712
113.0,0.68705
113.05,0.68697
113.1,0.6869
113.15,0.68682
113.2,0.68675
113.25,0.6867
113.3,0.68665
113.35,0.68657
113.4,0.6865
113.45,0.68642
113.5,0.68635
113.55,0.6863
113.6,0.68625
113.65,0.68617
113.7,0.6861
113.75,0.68602
113.8,0.68595
113.85,0.6859
113.9,0.68585
113.95,0.68575
114.0,0.68565
114.05,0.6856
114.1,0.68555
114.15,0.68547
114.2,0.6854
114.25,0.68532
114.3,0.68525
114.35,0.6852
114.4,0.68515
114.45,0.68507
114.5,0.685
114.55,0.68492
114.6,0.68485
114.65,0.6848
114.7,0.68475
114.75,0.68467
114.8,0.6846
114.85,0.68452
114.9,0.68445
114.95,0.6844
115.0,0.68435
115.05,0.68427
115.1,0.6842
115.15,0.68412
115.2,0.68405
115.25,0.68397
115.3,0.6839
115.35,0.68385
115.4,0.6838
115.45,0.68372
115.5,0.68365
115.55,0.68357
115.6,0.6835
115.65,0.68345
115.7,0.6834
115.75,0.68335
115.8,0.6833
115.85,0.6832
115.9,0.6831
115.95,0.68305
116.0,0.683
116.05,0.68295
116.1,0.6829
116.15,0.6828
116.2,0.6827
116.25,0.68265
116.3,0.6826
116.35,0.68255
116.4,0.6825
116.45,0.68242
116.5,0.68235
116.55,0.68227
116.6,0.6822
116.65,0.68215
116.7,0.6821
116.75,0.68202
116.8,0.68195
116.85,0.68187
116.9,0.6818
116.95,0.68175
117.0,0.6817
117.05,0.68162
117.1,0.68155
117.15,0.6815
117.2,0.68145
117.25,0.68137
117.3,0.6813
117.35,0.68122
117.4,0.68115
117.45,0.6811
117.5,0.68105
117.55,0.681
117.6,0.68095
117.65,0.68085
117.7,0.68075
117.75,0.6807
117.8,0.68065
117.85,0.6806
117.9,0.68055
117.95,0.68047
118.0,0.6804
118.05,0.68035
